Image_ID,Transformation,Intensite,Algo,Distance
0,Occlusion,50,wHash,34
0,Occlusion,55,aHash,29
0,Occlusion,55,pHash,24
0,Occlusion,55,dHash,16
0,Occlusion,55,wHash,34
0,Occlusion,60,aHash,38
0,Occlusion,60,pHash,26
0,Occlusion,60,dHash,28
0,Occlusion,60,wHash,44
0,Occlusion,65,aHash,34
0,Occlusion,65,pHash,26
0,Occlusion,65,dHash,26
0,Occlusion,65,wHash,34
0,Occlusion,70,aHash,36
0,Occlusion,70,pHash,22
0,Occlusion,70,dHash,24
0,Occlusion,70,wHash,42
0,Occlusion,75,aHash,37
0,Occlusion,75,pHash,24
0,Occlusion,75,dHash,25
0,Occlusion,75,wHash,36
0,Occlusion,80,aHash,34
0,Occlusion,80,pHash,24
0,Occlusion,80,dHash,25
0,Occlusion,80,wHash,40
0,Occlusion,85,aHash,36
0,Occlusion,85,pHash,32
0,Occlusion,85,dHash,21
0,Occlusion,85,wHash,41
0,Occlusion,90,aHash,34
0,Occlusion,90,pHash,24
0,Occlusion,90,dHash,25
0,Occlusion,90,wHash,39
0,Occlusion,95,aHash,36
0,Occlusion,95,pHash,24
0,Occlusion,95,dHash,24
0,Occlusion,95,wHash,39
0,Occlusion,100,aHash,33
0,Occlusion,100,pHash,32
0,Occlusion,100,dHash,34
0,Occlusion,100,wHash,32
1,Compression,0,aHash,0
1,Compression,0,pHash,2
1,Compression,0,dHash,1
1,Compression,0,wHash,2
1,Compression,5,aHash,0
1,Compression,5,pHash,0
1,Compression,5,dHash,0
1,Compression,5,wHash,0
1,Compression,10,aHash,0
1,Compression,10,pHash,0
1,Compression,10,dHash,0
1,Compression,10,wHash,0
1,Compression,15,aHash,0
1,Compression,15,pHash,0
1,Compression,15,dHash,0
1,Compression,15,wHash,0
1,Compression,20,aHash,0
1,Compression,20,pHash,0
1,Compression,20,dHash,0
1,Compression,20,wHash,0
1,Compression,25,aHash,0
1,Compression,25,pHash,0
1,Compression,25,dHash,0
1,Compression,25,wHash,0
1,Compression,30,aHash,0
1,Compression,30,pHash,0
1,Compression,30,dHash,0
1,Compression,30,wHash,0
1,Compression,35,aHash,0
1,Compression,35,pHash,0
1,Compression,35,dHash,0
1,Compression,35,wHash,0
1,Compression,40,aHash,0
1,Compression,40,pHash,0
1,Compression,40,dHash,0
1,Compression,40,wHash,0
1,Compression,45,aHash,0
1,Compression,45,pHash,0
1,Compression,45,dHash,0
1,Compression,45,wHash,0
1,Compression,50,aHash,0
1,Compression,50,pHash,0
1,Compression,50,dHash,0
1,Compression,50,wHash,0
1,Compression,55,aHash,0
1,Compression,55,pHash,0
1,Compression,55,dHash,0
1,Compression,55,wHash,0
1,Compression,60,aHash,0
1,Compression,60,pHash,0
1,Compression,60,dHash,0
1,Compression,60,wHash,0
1,Compression,65,aHash,0
1,Compression,65,pHash,0
1,Compression,65,dHash,0
1,Compression,65,wHash,0
1,Compression,70,aHash,0
1,Compression,70,pHash,0
1,Compression,70,dHash,0
1,Compression,70,wHash,0
1,Compression,75,aHash,0
1,Compression,75,pHash,0
1,Compression,75,dHash,0
1,Compression,75,wHash,0
1,Compression,80,aHash,0
1,Compression,80,pHash,0
1,Compression,80,dHash,0
1,Compression,80,wHash,0
1,Compression,85,aHash,0
1,Compression,85,pHash,0
1,Compression,85,dHash,0
1,Compression,85,wHash,0
1,Compression,90,aHash,0
1,Compression,90,pHash,0
1,Compression,90,dHash,0
1,Compression,90,wHash,0
1,Compression,95,aHash,0
1,Compression,95,pHash,0
1,Compression,95,dHash,0
1,Compression,95,wHash,0
1,Compression,100,aHash,0
1,Compression,100,pHash,0
1,Compression,100,dHash,0
1,Compression,100,wHash,0
1,Resize_Standard,0,aHash,33
