Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Algorithme,Param_hash_size,Param_mode,Distance_Hamming,Similarite_Pct
faces,0,Downscale_90,Downscale,90,wHash,32,haar,24,97.65625
faces,0,Downscale_90,Downscale,90,wHash,32,db4,20,98.61495844875347
faces,0,Downscale_90,Downscale,90,wHash,32,sym5,24,98.42209072978304
faces,0,Downscale_90,Downscale,90,wHash,32,coif1,30,97.68518518518519
faces,0,Occlusion_10,Occlusion,10,wHash,4,haar,4,75.0
faces,0,Occlusion_10,Occlusion,10,wHash,4,db4,2,98.0
faces,0,Occlusion_10,Occlusion,10,wHash,4,sym5,2,98.61111111111111
faces,0,Occlusion_10,Occlusion,10,wHash,4,coif1,2,96.875
faces,0,Occlusion_10,Occlusion,10,wHash,8,haar,8,87.5
faces,0,Occlusion_10,Occlusion,10,wHash,8,db4,12,93.87755102040816
faces,0,Occlusion_10,Occlusion,10,wHash,8,sym5,12,95.3125
faces,0,Occlusion_10,Occlusion,10,wHash,8,coif1,14,90.27777777777777
faces,0,Occlusion_10,Occlusion,10,wHash,16,haar,38,85.15625
faces,0,Occlusion_10,Occlusion,10,wHash,16,db4,38,92.14876033057851
faces,0,Occlusion_10,Occlusion,10,wHash,16,sym5,46,92.01388888888889
faces,0,Occlusion_10,Occlusion,10,wHash,16,coif1,44,89.0
faces,0,Occlusion_10,Occlusion,10,wHash,32,haar,160,84.375
faces,0,Occlusion_10,Occlusion,10,wHash,32,db4,170,88.22714681440443
faces,0,Occlusion_10,Occlusion,10,wHash,32,sym5,160,89.48060486522024
faces,0,Occlusion_10,Occlusion,10,wHash,32,coif1,164,87.34567901234568
faces,0,Occlusion_25,Occlusion,25,wHash,4,haar,6,62.5
faces,0,Occlusion_25,Occlusion,25,wHash,4,db4,4,96.0
faces,0,Occlusion_25,Occlusion,25,wHash,4,sym5,6,95.83333333333333
faces,0,Occlusion_25,Occlusion,25,wHash,4,coif1,8,87.5
faces,0,Occlusion_25,Occlusion,25,wHash,8,haar,18,71.875
faces,0,Occlusion_25,Occlusion,25,wHash,8,db4,24,87.75510204081633
faces,0,Occlusion_25,Occlusion,25,wHash,8,sym5,24,90.625
faces,0,Occlusion_25,Occlusion,25,wHash,8,coif1,26,81.94444444444444
faces,0,Occlusion_25,Occlusion,25,wHash,16,haar,76,70.3125
faces,0,Occlusion_25,Occlusion,25,wHash,16,db4,88,81.81818181818181
faces,0,Occlusion_25,Occlusion,25,wHash,16,sym5,94,83.68055555555556
faces,0,Occlusion_25,Occlusion,25,wHash,16,coif1,90,77.5
faces,0,Occlusion_25,Occlusion,25,wHash,32,haar,304,70.3125
faces,0,Occlusion_25,Occlusion,25,wHash,32,db4,342,76.31578947368422
faces,0,Occlusion_25,Occlusion,25,wHash,32,sym5,310,79.61867192636424
faces,0,Occlusion_25,Occlusion,25,wHash,32,coif1,304,76.54320987654322
faces,0,Occlusion_50,Occlusion,50,wHash,4,haar,6,62.5
