Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Param_hash_size,Algorithme,Distance_Hamming,Similarite_Pct
faces,0,Occlusion_10,Occlusion,10,6,aHash,6,83.33333333333334
faces,0,Occlusion_10,Occlusion,10,6,dHash,5,86.11111111111111
faces,0,Occlusion_10,Occlusion,10,8,aHash,13,79.6875
faces,0,Occlusion_10,Occlusion,10,8,dHash,8,87.5
faces,0,Occlusion_10,Occlusion,10,12,aHash,21,85.41666666666667
faces,0,Occlusion_10,Occlusion,10,12,dHash,13,90.97222222222223
faces,0,Occlusion_10,Occlusion,10,16,aHash,37,85.546875
faces,0,Occlusion_10,Occlusion,10,16,dHash,17,93.359375
faces,0,Occlusion_10,Occlusion,10,24,aHash,91,84.20138888888889
faces,0,Occlusion_10,Occlusion,10,24,dHash,42,92.70833333333333
faces,0,Occlusion_10,Occlusion,10,32,aHash,151,85.25390625
faces,0,Occlusion_10,Occlusion,10,32,dHash,61,94.04296875
faces,0,Occlusion_25,Occlusion,25,4,aHash,5,68.75
faces,0,Occlusion_25,Occlusion,25,4,dHash,8,50.0
faces,0,Occlusion_25,Occlusion,25,6,aHash,9,75.0
faces,0,Occlusion_25,Occlusion,25,6,dHash,8,77.77777777777777
faces,0,Occlusion_25,Occlusion,25,8,aHash,19,70.3125
faces,0,Occlusion_25,Occlusion,25,8,dHash,12,81.25
faces,0,Occlusion_25,Occlusion,25,12,aHash,41,71.52777777777777
faces,0,Occlusion_25,Occlusion,25,12,dHash,26,81.94444444444444
faces,0,Occlusion_25,Occlusion,25,16,aHash,80,68.75
faces,0,Occlusion_25,Occlusion,25,16,dHash,35,86.328125
faces,0,Occlusion_25,Occlusion,25,24,aHash,171,70.3125
faces,0,Occlusion_25,Occlusion,25,24,dHash,69,88.02083333333333
faces,0,Occlusion_25,Occlusion,25,32,aHash,292,71.484375
faces,0,Occlusion_25,Occlusion,25,32,dHash,127,87.59765625
faces,0,Occlusion_50,Occlusion,50,4,aHash,5,68.75
faces,0,Occlusion_50,Occlusion,50,4,dHash,5,68.75
faces,0,Occlusion_50,Occlusion,50,6,aHash,13,63.88888888888889
faces,0,Occlusion_50,Occlusion,50,6,dHash,11,69.44444444444444
faces,0,Occlusion_50,Occlusion,50,8,aHash,23,64.0625
faces,0,Occlusion_50,Occlusion,50,8,dHash,24,62.5
faces,0,Occlusion_50,Occlusion,50,12,aHash,57,60.41666666666667
faces,0,Occlusion_50,Occlusion,50,12,dHash,53,63.19444444444444
faces,0,Occlusion_50,Occlusion,50,16,aHash,97,62.109375
faces,0,Occlusion_50,Occlusion,50,16,dHash,87,66.015625
faces,0,Occlusion_50,Occlusion,50,24,aHash,224,61.11111111111111
faces,0,Occlusion_50,Occlusion,50,24,dHash,183,68.22916666666667
faces,0,Occlusion_50,Occlusion,50,32,aHash,388,62.109375
faces,0,Occlusion_50,Occlusion,50,32,dHash,325,68.26171875
faces,0,Occlusion_75,Occlusion,75,4,aHash,3,81.25
faces,0,Occlusion_75,Occlusion,75,4,dHash,5,68.75
faces,0,Occlusion_75,Occlusion,75,6,aHash,13,63.88888888888889
faces,0,Occlusion_75,Occlusion,75,6,dHash,18,50.0
faces,0,Occlusion_75,Occlusion,75,8,aHash,25,60.9375
faces,0,Occlusion_75,Occlusion,75,8,dHash,32,50.0
faces,0,Occlusion_75,Occlusion,75,12,aHash,70,51.38888888888889
faces,0,Occlusion_75,Occlusion,75,12,dHash,69,52.08333333333333
faces,0,Occlusion_75,Occlusion,75,16,aHash,103,59.765625
faces,0,Occlusion_75,Occlusion,75,16,dHash,108,57.8125
faces,0,Occlusion_75,Occlusion,75,24,aHash,246,57.29166666666667
faces,0,Occlusion_75,Occlusion,75,24,dHash,241,58.15972222222222
faces,0,Occlusion_75,Occlusion,75,32,aHash,417,59.27734375
faces,0,Occlusion_75,Occlusion,75,32,dHash,420,58.984375
faces,1,Original,Original,0,4,aHash,0,100.0
faces,1,Original,Original,0,4,dHash,0,100.0
faces,1,Original,Original,0,6,aHash,0,100.0
faces,1,Original,Original,0,6,dHash,0,100.0
faces,1,Original,Original,0,8,aHash,0,100.0
faces,1,Original,Original,0,8,dHash,0,100.0
faces,1,Original,Original,0,12,aHash,0,100.0
