Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Algorithme,Param_binbits,Distance,Similarite_Pct
faces,4,Downscale_75,Downscale,75,colorHash,4,0.0,100.0
faces,4,Downscale_75,Downscale,75,colorHash,5,0.0,100.0
faces,4,Downscale_75,Downscale,75,colorHash,6,2.0,97.61904761904762
faces,4,Downscale_90,Downscale,90,colorHash,2,0.0,100.0
faces,4,Downscale_90,Downscale,90,colorHash,3,0.0,100.0
faces,4,Downscale_90,Downscale,90,colorHash,4,2.0,96.42857142857143
faces,4,Downscale_90,Downscale,90,colorHash,5,4.0,94.28571428571429
faces,4,Downscale_90,Downscale,90,colorHash,6,2.0,97.61904761904762
faces,4,Occlusion_10,Occlusion,10,colorHash,2,0.0,100.0
faces,4,Occlusion_10,Occlusion,10,colorHash,3,0.0,100.0
faces,4,Occlusion_10,Occlusion,10,colorHash,4,1.0,98.21428571428571
faces,4,Occlusion_10,Occlusion,10,colorHash,5,3.0,95.71428571428571
faces,4,Occlusion_10,Occlusion,10,colorHash,6,2.0,97.61904761904762
faces,4,Occlusion_25,Occlusion,25,colorHash,2,1.0,96.42857142857143
faces,4,Occlusion_25,Occlusion,25,colorHash,3,1.0,97.61904761904762
faces,4,Occlusion_25,Occlusion,25,colorHash,4,3.0,94.64285714285714
faces,4,Occlusion_25,Occlusion,25,colorHash,5,3.0,95.71428571428571
faces,4,Occlusion_25,Occlusion,25,colorHash,6,4.0,95.23809523809524
faces,4,Occlusion_50,Occlusion,50,colorHash,2,1.0,96.42857142857143
faces,4,Occlusion_50,Occlusion,50,colorHash,3,2.0,95.23809523809524
faces,4,Occlusion_50,Occlusion,50,colorHash,4,5.0,91.07142857142857
faces,4,Occlusion_50,Occlusion,50,colorHash,5,6.0,91.42857142857143
